hash,buyer,seller 
4fa5kHmbaFvgvYBnDvQxAJN7C4uk3Dj6fXQmfKDhcpkW62qq3pqVdpdvUwWr1g3jqC5RBXpbob4K6PG7EsKSERfn,BkjnoJRYftBVKF5AQ9guGfeBev8wx1dXuuA8kMd7iAtj,4WnANvyeXq2uksj4iBH7UadpWeYXD2wZQ1xTzBhhGis8,2.1
3jdnJgRRnseRuyZsZ6PskGoNN5U6XW1KrZXqkBBLd2Nhw4Jk4yRbiABjGdPQXmxQgdwzpiJaBjzsFxixW5kZ9Kyv,B17DTCLLvyH5DiiAVyuTzw4nxRa4ne8tTKjmyTgxruDS,8HkNf6u8bcKqUEH2jZ1fL8fVLTVpA79foMT2E21EWeiC,2.3
58kpyaKDedkfhJZkBsqUzdKsirbeoRtwn25BVo8zt1vCxxxsz8hNoE7H3yBtNm8iCnFVYvbW65iwrC9C2nAZBWJg,8HkNf6u8bcKqUEH2jZ1fL8fVLTVpA79foMT2E21EWeiC,2Fdq1EYxGMfoiPScXpUHQtGypsC9KcFY79KF7uRXJZdZ,1.38
K944kuh8ceyYdcU12aLk21RXm3R6vXJBns8zp6QNQN9jxzXGsatRoawknzu4t2RjW7E4KBnMkGuPtTXtt631HwA,DJHwSKgiqoobpDYHCba54zMTW5LkUcBjKZNqB7d5CLup,HbyHWqzXyx7D9GRNvRuQXkfWWGGMb2mNKPrdWV7h975d,1.88
3DUri34FrbvpvC9zV8KqRLT3VBGGiD9ibHSBveFS7UtLxWH6KAue53YLksqCVgEkKvtcU82dowrwc3HtPVknRXng,H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,3SrFpNmxERwpE6jXMSMFP4RPDGDdPJL5Yer338xWaZqP,1.8
2goLmJq9iEyhp4TKy1S6iHMPoNbKwKBRA6kfUT6uMxX5E175ryNveoJzAeiDY9LakiHqw8cx784GNwoHcJGGdrib,EXesNjPJMrgEdqiBgYRszFHLxfHty8dtjELc54KwE1Ae,2BNKXsGYp5GH9RanhLvUQxEbb4DQM8RcVkTKMhZ3S1uo,1.9
5pcPCqP2myCh92AgtAqZQUiL1pQmNBS8EjGjGNsVeJSAKDu3NNdKaJamHTR3GrS1kbevTxZRmpR19JjVaxvhNJ7e,8UXAnMyHSafYQAcKZwpTHfeDSC9F8qGWyoSLc4jHpAqH,6Lvrf7EXiqBwFFmFBHJgyKsQ4gr1zDGbhkjGeTuVmREK,1.942
2WkiYxSPyGo2pDbPDi9sCHDbVxRcfaZJfDD3PiZpMC6qEoeKvm9yMg78VmGX2VhFaGyGykWnDDQPpiMh3ZuYHBjj,qLXuMbq5L8tfgHHwRhYw5cQCxiQPwQktNe2Nehw331V,HUycMWQvT5rUrJwMGdv1oHnTcNmwiduwZpJp53ke5LNU,1.82
25VaYw2xZ2MaXMCSc1T4xrbkKR2EU2iAV7y27MDtjSoSTmHzZWyKZF3YBC8pRqEt6DKXWTxHiimxt5Esn8bTEycD,BkjnoJRYftBVKF5AQ9guGfeBev8wx1dXuuA8kMd7iAtj,8F8w4BPPTYp6npvebonFsaC2qNVqMRYNXy7tXEKxid82,1.85
3VmEk6e9ppJAqrLVqi2fBkbpQDs7KVySSWCEBerLZ7XYucB7oQpPFzKLcm9g5bcCLRuDZMMb9mXGAjgSoKu92UCG,7AU9GNPVryxN7rE3hoT4bHEd3wUuWDGc8eSTfYctjiAR,GmYKyvwEWjwm2X2EBJvPqR2ArKrQewyD6nCMRAYbHjyi,1.62
2L4WwmNg4PwLW3LeyNHNd5dpLF6C71gRvMRLEVy1F9uBSWfx1sm4iWNmVfNPc6aNCbCDwo5U6UbawfuCsp8kjo1t,2HmGo9CTpwF9e3KYXtR9XGErzrzr8A1VZM6aVTzZW7LX,Hyyq4tvoKDWF7NkzqhXxGoP9C9Kw8CSUvo2ndJbR81C5,1.61
2vF9QBUGrXNrYZvjhUbUKYhd7SgUaKpKdURrWf5pnY4qUQxGwhWhsCBufE3vD4BUtXYEMQ7nssmsxTuBmkHRnvFf,Hyyq4tvoKDWF7NkzqhXxGoP9C9Kw8CSUvo2ndJbR81C5,8iZS8TU9VabLmM2Ft3t8xkUiJG9yR1ZNTVhPqPrRhVVc,1.37
2EmiZXiokRYW4QigoXnDrCLcJLKKXd4rQgE6jehhneG5YCsdMdH3KNCe7zeLgf1Wc7NBLuLeyeS8yFGCrXiUNrog,ASjRf8K8tsxXZ2ktFBMbQz5zo6Us7fyAtCSS8Lmksz3z,HSwhrdFp6q6wewNoj16mQ2UXGG2xV5mYbWRtgdfWfREL,1.35
57EtTggZSQVtpfAoesRH8tRkmyLhyUNXhwTiLAyEtv5y46ZttNK8G5tCgBa8v2zaBKCH6HLx22VmyVJpF6ZxB5Ys,57CGtmpzc6ku6k7UkfWRdxFwR6LZHi77X36KhJi4AS7W,5byLW1RQ8ykCqZ9Fxpup9j5KvRrKP8JS6Fb1jefHFpCJ,1.39
3yRxdkcE97rih4NYoGk6yZWwnW488Sp7mXsSEyG17tW8cKRzut5tBMzNDjiZYEK1VDhPJ5gQzVRmV7q1oFcQKSgN,71vfzAYbDKLpcfeBHb4T6UMpjMDzTst4FsQNM9Z9YQxM,GuSdFNkWQDPTobfnobMeoGk5jSeB8ES8sugF9z2AGG9L,1.8
aexF2Z4ud45DcK4fj41XJk1HQ6JxQ63ZZo8jAhu9TStE2ZmKczFJ6LPqxBKEJ9eqkab3cuhf9yeLUBXLCxe3kCx,7ekUxFq4rHVTQF2nooECtieAyZFdkbW8xjzVrjWGixvh,3MLHMqdK2PxXpVy5pVCHZv5sgoVCzsbJjTp2hVn6uijb,1.85
NDiCJjtDiW6XDAjGFT9tb1WNKn2QEqPrfv1sRH4xBXUyTme7dMtQ5djP2VEib9iTBvLtGMByUvtjJdChvg7haPm,Df8LqaNeNfC5GDPNNksruPTChdCqSDM9y5MR1SysbTzk,AizhHQMAmBdsV8MrXZLaML1s6fP7ebyL48XVZuUFugoT,1.87
4BaFcZLk6jupug4NfLQLz819hVG4yGUSM8VAdUxP32bufZ3LZgr8BR9byewxPjbqw9hpYnwL75pUVLDTt9YDDEay,AizhHQMAmBdsV8MrXZLaML1s6fP7ebyL48XVZuUFugoT,7oUkkM6SUJaDgZNw4GuDiMpBgVruHHsx31VnzMa15eTm,2
5HruyRHBzX1zmmmif1PoQzpH2YFgqWE7oyTZZ9c7exNL2nWFPSBm4NKPBz5TSMJyu2w7dqdvhQHqBLyP4fYwVPya,FspCE8JboVXrq1MUjn5Jssb7YJpwUXU6BFJgZctdJEjK,7qAiu6KuH1VsGm2w2oojyUg2KkDo819SBPYVp87BHcpB,1.9
42LvXMdc2wJAPPj4tdrPipyowq25LhBBSTuQA35QjGsvFoa9qC3oYVb1Bn41mmgEAGCuYN4FUk8AgeYcJpfnDUaP,AN4JCcq78UMFdphuKFVnBjKkj54Arb39cunVkHuAVsAC,DXVPm33mwcpRkJ9oAqDTAeP3LSKGSGcdd7WPP2b1x3hD,1.435
C2ruYp4goEitMLFKsLDgjKSyp7AVgxzH1FcS2hsxWHXM4gADdvm7SYDRGgw3qt17jZndzHThpRR8RTwtAeZSy2c,2mbutFDrXT3XpkZBUvHXvL5mTG3VUWE59yJz65dvdSKK,J2t8E8y6AarFsThYsubyvSPgUonVFzJ4KxMFXthuFKYh,1.21
4T1gPVsu1YCXqTBedptkmukssLUURT3TzFJaNshbxST752XGRTpRVWEgrqp8DxCRKPDuMPx3WHZiPAQxnv8ZMWpH,J2t8E8y6AarFsThYsubyvSPgUonVFzJ4KxMFXthuFKYh,3G14436pnitWCkwpsSF6PL842EptR4yPeBEoVzJptiWB,1.8
3MPmSVRVkdEer6z5J4cgbqmrdHqM3ibNrPkugJjoGWMkPxMojUvntYXGTP6AZvz9a7LqUAUcDrJGCiicAAWL5SuB,2WpArpPeyNSrTHhdYbUJni4iz1sioDCtNbyVE3TiGMwf,5GbuwdrUrJqQKxaFP5xaAguH3uZYiEpH9LFcMw58Wbng,2.24
5VuqskcfRkV24ZyL9eP7sbyuw3UbJKu7qR5yFEFMdh4F59nQoT24BGFeRTU6EiV7SVjZ7bZb4YS9f9D6rJW4xra5,BKohgwLpk4Zti2pA2iReNzxcLn1bsdUtnhzceVYKBBoj,7i7TvKgU5NeWLpDYzJT8mSArYigiYeH55CDRo5DNRBRx,1
4aiopnrLiJUQB7v2smskgPTe7seW7RGL1cQhf2V3y5V5EwqDhP5d1zQayuH9YXYFCcFfnu4RhCYuB4wpSGXvmHot,AcYWbY2Yw7dNyhgJC1M54sUdbF7e7TpMAuWZZjiJMzga,CnVu4kbsqHH9SX3LigQW7UuUrcR8ZSeqx5Dint2PCKLn,1.3
5VG3nzvEiRSofFubjAeKvFefzcPWnBAyJZdpsvmjVnHVgSJsVvjmTCataLxXUXsBFtcLDFhjMceDzha3e6d7W4G8,7dUFneTURFPQ53SbE41dVTeFTP5hKqu4BgATZSsWgoPS,5abgbYcJp8kja1Fzy93Micu2scbP5YVZGbdM9VizyAEq,2.1
3ZG3HDu7pvuLHZsyfsLtt9URza5y4PX5FJEWUXqYNrsL2z7ys49E7MJm4bmwyvyXgwFnzgXW7oCKRETNm6xkpDau,7fTf1n3qdEUTbuYP8juToSzFZgn2fJs3mpnTPePnYg6G,9L765C7MnxiqjsMkNXNaEbUfqUfLNJT7Ys4pS4hirFFg,1.19
5C7KFDJBorRwm8fsGPqd1dWHGUU2y5nETtRYfN2Kue99y9WenMeTy8cfUnxPYYDehD6vjSpZuMptdmHpUsyzEYr2,7pYxSDRV6qwSSHAxxJ3MtGUycEenz85rSdmnQTJD73wY,EoPjHg9UeZAUSrG3tzLtcLbFwChH933a49JgncfH9jB7,1.44
mPzWeYaYWXAJHupHKPzQrXUnYribv6rLUoaBfQjwT588RzSCtxGfBFFvi3JKNX6XXHzHGPRcv6XGC9DB5ZMyZj8,EoPjHg9UeZAUSrG3tzLtcLbFwChH933a49JgncfH9jB7,ALuJmVaDQEqbHDrEPkBiZwwtWVnoWHNwiCvHuXDHZBeP,2.05
4WsYoLMJT8o6M2snhyUnpoLuPEaiRfpmm1bbjxta1TprzpSy4FecsyL5QwscWJxGef9A9Hcud9cTFsffndNYNbBd,ALuJmVaDQEqbHDrEPkBiZwwtWVnoWHNwiCvHuXDHZBeP,9YLAVwaxxfUM2toqhY79g7EpnPowmZv6qoMB5uPjYxxA,1.96
5tyZzivpf99b5ac7HX31m1LKkjhBk4bzVYsVnMPaEoAJWu74XebD1obHHx6QXEtcdXp3u86NujsvoMNzE471h79b,7AQMfkkQze25gZ47ZxWizrSUXC5hCj7Fhz8hAbSdYutm,J2t8E8y6AarFsThYsubyvSPgUonVFzJ4KxMFXthuFKYh,1.24
3P2mLDeYcpem3krY7hUVpEHevWoxAyJWHJ5eFUNAwGt1dv76g5jsbaYjXwPh5Cw51dNha694zdQ9K1oXn1PXKhRB,J2t8E8y6AarFsThYsubyvSPgUonVFzJ4KxMFXthuFKYh,8yrorLkApsEDMvWgUziaUTeSHCGcMVLSkH1ZKY2S6pYB,1.3
5SPBL6JrBLLfxV6KLMTLMaXnSFE7wMrMaBsezM7eBBeLaeRKgi4TG2qdSRb1BeeG1kzY7cC2U15b9zA846VZWW1e,DrWSxUdCyArmAsa1yL5TLHo6fRpQAmfp2knZ3JkRXXJd,9o8jWdwFfxwaA2H6hMvE5sKLtAUNyMYHznWvYuKDkraE,1.54
5vC7VNiKWw2Z4Qdge6Ji9iTaHWqazVe3vEKqZ5nyWRSQGJfoxw2JfNSLAvJmdfcjhyvcpLyVgPjPjnXR3vmbq2Vp,3rwbhotUybqeUrsh4WRxtbaGEiQvT8AZ5btvFBq7iAUL,2z9vpFpzn12nTrw3YUQBipBA2kSSc876Hy6KoeforKcf,1.238
