hash,buyer,seller 
2HKkDNy1PBgM2zNN3Epb7CWYKgqtn9HvC6PGYn1Nfe1DFSWdcBde6WaYNU5uZaHELUmiDmsExo5RJods97VPJLB9,ANjKZnHcWHpixQdmyrwDTswnsPU1pf311LrDtm4A3WV2,B8gQwfJee9oAX5JvLxLHX4m6U3KnXTwddeCeRCBs8R7Q,15
46noJtN1hbD7E86Dy71t1BtHgynNTYRF1K3ccfbVi72Dq9KN7SCKuufVdHE8TeUkieYXkiv93b24TvpcCSJKkvUy,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,Haja1GoXxGu62kZjg927MwZoQvHgipFXKGvQAJMNAdYQ,18.5
3rotVrd6bGzndrp2R9aJZ3i85Ux9orKbRkh7R2rUdYS5LiWxW1a94Lh2zXCgPno95fMnrEuSRgoi5FouRfmHoVuc,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,JBJLVHT19w5PwCDRuciucGe9Mb4GEhAfUCfQicXbwepw,20
2RfXxK28fwjkdNirscscMwgvSZ3AmtYEk4UU76xBwKsPE4Gh3KXtVtZjBixaZ3xwuJc9snV8NJXB6fUvLhWcDkBF,7QBR1ewFud8j8aYbyNFXUnaKPrkPY64LArUXejU9XN5o,CjQg9eiy5f3nCAC77goDz2J8SJfe9tRqHkyFakTQsNLp,19
2K2QXvA7sN9N1A1jsBYhxBZb7xMK6PBvJELBVwTcct3Fpfkui3SSXp4ZSNYDv2C5jG4ZJjwkKP1WED58yYrhuoei,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,97Rcgj4Nx68oxibvZ7Tn9szhgHGnRVUsyUyYqsoBAnGB,15
2PceTyhwP4ACfSSxY1Rzk6HFnZk6uEujGWdxEKxAaV5KMXhiFSjmWU5vmjrjmdQL7PZZ24TAgPx78t2scDwbPYX9,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,EBGxNgeiZo3WMbD7pXiND7EcgtMv4gzsotfo2Zezet7M,13
4NygwyXqcsVQPWVdyY6ACFMP39dQA6hHqSQs5TZzqd7NF5x2sezZbKTD9J3GhwMr73H3yRcL5DgyiPGd5S9kzbFx,F5Nvx7LAmqPwhG73QgGjaBLXxRD2tckhfxbbkBzXwub3,Cjzekqdwwn19gSqqHdcfjuW6jBN943cz91r1FsrddMZk,13
3Ljm3GVaoiFcuj2oNYmXV98hLHU67AJVCdyPLdA47sqjXYVdD1AypL9rGRCNtydm6faCfDqkQtkjy7pRybHzWPiF,Chx1BnTYbHLyEAuRvLAitCefMe85SpKoHqfcUjwVPLbp,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,10.5
5bfMyZAkBNFEsxRCa2dYwWfKfaWhuZ9gJNiH8L8TzSt77DnKgVimwjuHCHrtiYSpvAPdf9PUUxohqrfBEt1JEQsg,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,HdugF3Kh77wgi44ERhYWVS59mRqENbZWtXeVrN1fsst4,7.9
65TcZfeG6QcFmuUHNKSnRdPHmxvT5RM7MaUL6enpb7miumq4BuDq3XDbgHERfM3DB9r6qstoaouP6QgEY78pjuXH,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,Hz75D2BCZZm9rFe9FzjZRaJRkt8n2DrQm1HGJXgfey3j,9.4
5dLyB1sV438QoZaymmfD1xegUmG49rzDomsXPLZxsfpnoUT5i4kY8r2vZPYJmN1YpNCttqUT1FP78KpWqmQdxNSp,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,6BrCYRgvhh94BZSVwGhvxXEtDNyhZJTZm5m1bQpLYkPK,9
U9ZFduNdm5hwbRjMR3Lqm2VYZ8viQRawY8SJb79FPZkWNHNqqLoUDpzJfdmSCoshixVkY5KCKECbjC2s8ZvkGrB,DNF9hsL2MFPyRg2Q4YcUPoPY8bTew5w6UUqoVuFABRm,9aSH2THWZ2xQQP58JxnpW4C6dqaA1GVsjLD2vmsy9jpv,5.666666
2m671kJZfRaKQMiartmq1C1Sce66pDRyzt6tihy5Cn27y5KFdMGvfNve39uumLKVyaf5WxvyWPueaPRVTSN9BXQk,CygjMc9fbjrWexepGweKjHQoYnkTLM5aC9UtMvqpeqMm,7nrtKhbMbXL1YN48ZH8VmGCUUfKEZFYGjP2RZfXC28xp,10
5eDz4yVAGjxkyM9YVByHzo7zNH6rCbCHzPr8SHALcUTm8A6VLay5tch5mckL6Hedt7i58uYW9cnaknee2ZuN1Nfk,2QtG3yLKNsrBJPNaG6rhKcAkBzwN86QZGwK6GVwypeDV,F9vHiTZ6vym11VVwEBWtfurACBg4yURC99V9XtqxqgrE,22
3DieLHYAy54tAdiEzo1B5DnmAW545MUox1zMdsp2mutLZX9fwizj9dHEyTkSmmB2sZAejZnyW6X1c7PJaMFicDTp,9eCrHbaDEc4KHKEh8ZVVMtMwbiDPJnHBzN4fSLnMEt63,8TeymQz7HoxvgW7aV4jJNdyGvZLCiKP2DQM6Ug4kDzBB,31.9
2mSDXiariZT964Nw54tCPKDjTj31iQN6bF5ywPbdVSao1i2eMpaFTVHgNDvdM8hTNgKoNRjnV5C2yCW8ueQFR3sm,8TeymQz7HoxvgW7aV4jJNdyGvZLCiKP2DQM6Ug4kDzBB,DTNTPb3FnMr3zFVqtqEp1iPZxkqsni5Q14b82KugH4Ma,13
464SrgwMgF7JLVwVwWhg6uuQAMvkTxvvqTP5UdF9W75eRi4LsGQwifbneA2zQF7mSz17nfoeQCu8RDxrULCJdmY7,8Rs64tzFUauz8pBjXpmubSRMs4ys1HgbPqhjDzssBU6s,AgN2BqmZnQfCSekhcs5fdxwoD2ezQHmdoGchdAt9T9mo,18.69
4pQRV3wHQJUyCuwvpqEbnLML1Gaa4Z2NuBLherYTdp2et6E9Qc1KSX1aWZkg1S42cXmF5YK3WH687rqtBGrW27Sq,FLatWqdZ93EpafidFKM3u8zAiTA8zQJ8rWFYFhJVAFLJ,AcS2wTc7XUMTnJkAbednF3m44QBGfenJbiBPYB6QwQMn,14
4Gh9VxZFhbudRvdxSeBhnMoJhSM7c8qYXfrCBEEr8zmV8RRwHYHVqQo8KaWnL1aupbyv7aK9EDDSmA49Vutngaaa,9fdWXDMV48B4p9b5wrULKty4d2XRUD1JcErLkWHCCJ4A,4xFUrj2nLG4J4ehWnxdtVAA4ijGyLQaqk4TtvSqRmVX8,17.12
5wYR5dVczfrzqB5DKhUYdr4D4gs69MQah9gkAhJQaiTQMcwFAeCixbsNCKUwC1sUZ2tvhgk6vYgViFGwvhGPvTXK,AeQpB28j2Ph9tXLbBzSYS5Gn5WcfHwhMWi4Kw2HM8kdZ,3gheWAG8mpmNA1RncXbNgf66s6Z52ax5dteVkm8TargR,20
5wTjBEuxQfu6fScWPh8wJS7NZdSSZ44yc5ySeAv4EcRrgB2N94uyHaVS4pnvfC33AEvpF7ebbkgTuxaTMuEFdcLo,FspCE8JboVXrq1MUjn5Jssb7YJpwUXU6BFJgZctdJEjK,2eHRu2mCKsQAVNckqPfc7n7aJdrDiCkn7EQrUVvhxPqF,24.49
374BbQYQ3fA8ANvdSgKpfR2w12ZEyZGevxvAWcqsbn3Wb1HCjCYBJsBvpGwppUCSj81p9jvDJs8JQb2iiGhw8UBz,DFPTF9vw86h3VZFJgadTE8oLwRGcQKx1kU3B7ymuHDFe,8SvWtK6VX3NE3xsH2i2LSWgito8r12aNLz2gptJTXAnm,23
2Lc5TD7HCsX2s2FG9XNax95FmMh8S2Wf8JH9yrriZ7uLAZtc4H7pSzyx4fHxz2WNsRPYdnNWwvLVbUk5pmEhhCPd,29hcg7nN7unogHZTe72dL9C6SSG2hGbMtmK9egS7guub,F2kM1xFTvm1rVztHRvV3eFF4PCJmN5Cio5gSyb8VDQ9Q,22.45
43Cbj9MgLZvCTksKFTpKppnC4H9wQaiqLKyfzPAJuCv2xpRPbBUyosC4xfDMYr4a2puPv5opt93NgE7TPF3JCEoz,DxptiURwkFFV9jr1Uozv1fcEb2q2hKdvszK8oRZD6eeu,CLmpH6cDTtzbbmeqYhTjgtyChp6HRbDHsFgNv52Qt4md,21.45
63GUhmmkGHySSFLEeeRtZGPhrFAGimrFsJKbq3cTheMBZPv3JNNWha5pFsdcjnQz6Nnqj32xij5WbNas2ztkFsC3,DFPTF9vw86h3VZFJgadTE8oLwRGcQKx1kU3B7ymuHDFe,RdDkriZdea2oVKfUAEoFavWyn4R7BGhJzZfeTYgGkei,20.5
pS4J4GVkGJ39Gy1VTkVxAn1xjwLTaVuXj9UBLXVFVLsea4ei2vmyWASUdvCRnt4dEyPBzjYNt2xnFpsbPb6SRMk,DFPTF9vw86h3VZFJgadTE8oLwRGcQKx1kU3B7ymuHDFe,8mdvrBuveNcz8P4GyeKX1wfM6wqp9kfmQ1M91MsW7rp6,18
64MWJYk98hyohXp2943jTSixFTHcbxfR5tAnZtbFjBXFTWyENhQqCj1pQBssy2S8Ha9iahSR9x9CkMzx1se4n4kE,p8Zsu4vWYPZsJ9cs3An22PeenarfmagNzERDHS7gTa6,81eiK8EsjTWKqZezjp4YD3MRdTt7bSqQ3FYt4dxtWrVG,17.666666667
4hEfXroD8zbFtUWTvAJuQc5QuZHmP7ia3vH8dFQUAPgnB5aqQjxEYuTmNwxenr7nDVKW5MoRd12XjDeU5d3dmteY,9ejdUcNpqNupTiJDSZWNcjkVAeoJHVZLdP3zYuHjQ2vW,CuguaNoZ65TYB7ELfMwAcLLtoJMeSXTfB9aEzhNuPQtQ,20.5
BAoQfh72J6qgGm7K4as819JMiChak2csLCVBeYVzoD4ZmM3EC4DsxfMwcUieTvURUjbXFhagschaiL3Sf8jKqeV,CuguaNoZ65TYB7ELfMwAcLLtoJMeSXTfB9aEzhNuPQtQ,7gRrH3NRRzzNXirpJEC4UfX19uavczeLg4SPsRyzGhQq,20
Aqa7ZmkpuiWHheUe1LmKaahkdWTda9RbPjLimYQdXpCJ3bcX98oGiamg5avhWSHBtcM838cir7scHrK9y4P8Ji2,4ZCiGakZJy5aJsLpMBNBNwyrmNCCSCzukzhaPzzd4d7v,C8cS7iqF7oTjh3Q4F1JXqc3uPvcEoZBsyjvNrzcvtoVG,23.9
3pe486qcqGxPBDNbguGM2SW9f96gXNttkWG2PH2GU1AakiELVuhgQqR9gCyaeveazLrhyY68D69Q58WqVjaZ6bdk,BA2wAavnhGrY2MSqGx5WYLh9VKjVYWfh3xM7yjEsVUYL,BYLtEZZmLa4NF1Gaj4TVfifKDXsBbBYYQd8QMftBaVg2,21
jXiVbptbJSxLSRtu8qbitTW8ocprBT2vaqNMwgw4GhSfCzbBeSxUj1eGD9rBjT5xeNkgVQpEGj7LkUSSNDZi8VE,2HNjyZkWcbKNFfcjZ2iC1jYaETcSAwPj7DjsTR5n7qf2,9TzaR7ztQipUnGmTcjT69rfjaaNHmacWSoWVvqUsj7PS,23
4pXAmJBRxCg6A1ETo6nbuNEWuUjiknT5sowns5413aJcysxQWVebaY5o3fnYP9dZX5SzUSxCkdkGZgr2ioWnYR4q,DKUKP3S28faF2cKdgCY8fe52S8WQR7UZhHqNbsEfP8Sn,A72EFjfFimmT9f3ACScYRpgHWx7hvJDLw8Unyvd4H5sC,15
4v73ygBF73ra9xZBPcuySKGrGTiGEr9D972PecWJNMX6cXFmM2i6amHXDKm26ieNccsqekCftjFYPuhRAuSnLPET,FdYvJGjdMcjEzPzVK8RjnPS3BCakXMHHbzskgpx3k1dz,4b5X7N3c27VarXJ5htLeMK41xPpU9bLfwniemK4bb7uP,23
