hash,buyer,seller 
42orUCXds1uSZXNZSPj89co66rXzBBND3WZtVxRpsnaYoWXBDEnrsdEonmLBfgTNpp7ZoDV8gemYta3xiECUHHkw,ESUjKjNeTRhooRPaahaBS8caEBdqVnYiHdUsSHwAJHm6,5GKTkRZXJyCy6mMGJbmjivgrrQVqD6ienSLQ5VbCqAWK,3.3
2JYjmeasR6LnNQtwvuNz4gvHm5CqoskWpGKtF5uYsDnUdPPds39b6CyHbeUYtCHZ26h5QvKn3T1PdR46ed7WWMtL,5GKTkRZXJyCy6mMGJbmjivgrrQVqD6ienSLQ5VbCqAWK,9u29VyeejibVDyYKsHt4xLWQuezq3cjeczAxdqRBv87i,2.5
2KNbtGYdkq1o6ZY8nc6iP4w6FUBsV2A757qn32vceMPpDaQZgvpXs8U5xUKVPBRgiwRFKRXVforqf2CMHv1jUpL6,3AWKaj1VEvbHohTjR26tQaJW4BLdGc2wdByc2SKMSCKj,GPiyywbtEQjKsEFt2ykSuTo9JSWSbXJQaoaxdTzy8v96,8.75
XrS2oSsmVvbhqwT6usJ3aepho1EiPiqioS11XB2LwLtC259Fi2uYyiY9aBHUcnRqzNDxGaHgvUeTYzBhq3TCnPY,GPiyywbtEQjKsEFt2ykSuTo9JSWSbXJQaoaxdTzy8v96,CuFaxnZ3xWkt4H6Wu7T6may59MuhTHLEeefjENWkGKj5,4.7
39D3nmFspqtrj1nm1dQdvjfaJNN7hPj64VPAoHvscttpaZchrRBQW8zsKsM67zwKsrv1GaPWFE9gxJkX5ctADAfU,CuFaxnZ3xWkt4H6Wu7T6may59MuhTHLEeefjENWkGKj5,FH7Q2D2YdRt6oHzKndSENHJd17EA5spdDJ3xhwb3Aw6a,2.8
3aeV86dQ5gF8aQbsjhkaAuYYLBc1TN6WzdLm3ntXdBSR3dp3LcXcZQUt1vLFrRsDoUULnWqMCK9aSpd5DvZZa2xB,6w57SauP9PyaUuXGvswMTgk4UQBqMPhHJUYz5awx6SeX,BmjJuuv1gykZFCeni8jeMNydrFzAHkSrnTD1Mh3DMMe6,5.7
34FziB2YCrqtetwkSGbYd6cSwA39dqq7X7bBMdn3H7p9PHpmBysk4GhAhyxCCcC3daWx2e2zL8fn3HwqSKwYU9Ji,BmjJuuv1gykZFCeni8jeMNydrFzAHkSrnTD1Mh3DMMe6,BnQXreRNfBTvW6FWmuWa2RTU49LMVBdNat3kezXdN1g,8.05
2eBLJWVs2iNeR3cTL7Ww9oPyr7rbUie4kWPiSdhWUYYJ36TKP8Hv6ifFyLkVJn1qwTQSvDtcu9Q84aLKsdGeNTQk,BnQXreRNfBTvW6FWmuWa2RTU49LMVBdNat3kezXdN1g,KiDnvehQ1gkdiQTqXo2YnoyN3QJSXwzLfhQEJXPARg3,2.69
2TaYXDT1m2ngNXzMBnvx8cqFm86cYiCuxJYejNa4h2PQiCTxjtR9aPz6MCtMMcVQ5XnyYyBEnbb1uatG4Kef1pz7,Bo8dziqGFxRcCAgQdcpkBvhddaMDh4pvoT3aEeu3diUD,7Qv9gJF8zxk346RiHptGSP8aBm8XMP5qWGTSTo7Uxpzx,8.7
P477J7Jw3A3aBqMhPn59P4TyMpkqrA8TEyXrVYtxbE8dda791rRHZNthQAThWffsFinvvDdAk1wK9L2kkssYTke,7Qv9gJF8zxk346RiHptGSP8aBm8XMP5qWGTSTo7Uxpzx,2Y9dxrvgmjc9LBHPfjrceFmnJKTLKkX1x4s75QZxEPJc,3.99
