hash,buyer,seller 
Xxi1bEuzDSD1BMzSg65Gn97PoNWdvqpGPtPGoULpbrXNNK4TD1kzLafY5RoeXgmC7qr6WoHXxRxXXW9V73TmEzJ,BpXSt1T4MH2KNtqPgWL6opCnzJeoAZxx3X81dVi47oSg,3Lvgut8UfD2RqL5s1gnu8kZ37j9PVtUcxFfR9Zq6NXxw,0.6
3SeJRftPFndY3q4CDZaXNYSmx1Pgsm4v4k1Dgd2vn5Gk8KBSa3r3DAbreWoY5PwPKJTwuYaFhBiJSs1fmpSbFyGJ,3Lvgut8UfD2RqL5s1gnu8kZ37j9PVtUcxFfR9Zq6NXxw,DLNmauHe8J6x39hh9yYU1G2sPjWkBcX8mZQj4sBouttX,0.75
86t22iG8m8i7Mh9TSgcuUuADwfF5UFHhp2umUpvd8vyQPW55wkM2ky3ZGkwbi2EUi4odeMa4wteaHhA4E5HnYnt,DLNmauHe8J6x39hh9yYU1G2sPjWkBcX8mZQj4sBouttX,HqS96qteVoT8SdYhBWTBLyBcYGqiLXGCpFaG2jci9BXD,0.68
2UxhxZBEkqKJgQHDownKatDgLLGHnGxM3A5HQboZ1baDL9E7JEZhB9WnVsDPRdz5DGJuMWm7PnRBrxuRh9w5AqNQ,3VACLyA28mXxsy16TrmA1md81qGe6EpceQnakubDmD4t,AN33hjkKpRZptq47MVSfVdyvkZS3Dz29XgqjF42bfW7M,0.97104928
5QX651NS8aav8UmSTrfQQe58XFDuzaXcvqwMnyVsFui71ZSsqAph9GC7ah3kfHT9dGCXL4k2UicG23LdzPw6Pbk5,AN33hjkKpRZptq47MVSfVdyvkZS3Dz29XgqjF42bfW7M,Bv6CtQvCKrUJ5ycbAE2ofhd5RcrosbwR9AYunp8mBh6G,0.69
2WxFDH6pZfqhXYTmTkFN5t9Y12Z9zSiRk1rZJuJzeFCDU9EtnMntV6A6dC8rMpB1TcoPXqLLpL4aswE3caNrqTT8,Hi6GHLf9wHXQWTveX7SZ6wsXMbZKyKZyS7V2VoedqJRo,AtFV1fprYyaMcHU8i12jiBUv1ZJEfdrZRQRAMyRgeBPk,0.45
3GgTSLGA2yWgdjzNd2UBQhw2erWSmnb6kGkcpJWVqLYmRdEvX1MyzQmsA75n3o1PdbzJEYGaU3QzvNHvuKYokVMS,AtFV1fprYyaMcHU8i12jiBUv1ZJEfdrZRQRAMyRgeBPk,9nAm6T6v4ZB1exXqhpCTqGNq2K6sTRBmrEvLTn7SP4nD,0.7
5eqVCmDzmsKQgCVevKFSsWXru9cTHYGZoC7jzgkLzL3BGEAgTPmuahKQksaE5TPGXX4oJMFySVSdwnKt9DWuSuBq,6Q1BSrwaYBE3AyruVpc2VWYv8bz1idk23sRDExY9ywGW,977gWQiAoYdre5sCM4zaVqMaFj7FiGZHYDuqq3yB9gCq,0.89
5EPhPvmtYDMdFA9AmpWVyvXQJe3b21pgE4uakExYRTkztrvfain2LhZbJe6uqmWHZ9YdD27XYsvpLyPGZYv7gV8f,977gWQiAoYdre5sCM4zaVqMaFj7FiGZHYDuqq3yB9gCq,8hcqbjrAbopppozWRitfVL8dfZ7wtRHGcA4gcnFxqU7P,0.98
44ZTRvYg8WBXasLibkR4ehzeSabuSdPKerHgbbWDZQQ4Dog6CZtBjv92RDFnHFio9TgY4GdtX5WGaZgNBRXGZDp6,9Eaxrmfjyudpj9uYqc2nX9ayny9YvNX4QDve3ymUSxJV,21dbKvLNNDikKZJye1YKAozhjbURTDjTQxzNUEriuH6j,0.23
3aVSna7vJyfyPFJw7GcLNrPbmi9JnZ6hSmr86Y6MSWcEyEyuAxq5tYPaJuG3uhkLYhjyWuimFnnLje1Dpu9TBS8z,21dbKvLNNDikKZJye1YKAozhjbURTDjTQxzNUEriuH6j,FRQrZdQmemZcgZPGnKELC1Nngp3MTavRHqE388wMKgH5,0.5
6587i2YDM9D3MC4xSTCcDrHMGqJKGFyHTNf2Ppj22B3gGgnK7nodhNMGh7ah3BrXWoMEJ8VuLxeQXnkubu1hEAKb,FRQrZdQmemZcgZPGnKELC1Nngp3MTavRHqE388wMKgH5,2FFEbJpWt38zcJjDENQruEZWWYwe77zU5McrfFMzJbTY,0.338
2KcT2XBEYF3xN5LmiJpvKoZiQfW48e8T8XcP5bGtNQcpN3eX2decahGgmPjoypfC5EEBYmhkNyYEg9UrYL5Jd4YZ,94P3sGg68hQizWWJXYkuGDLifcH628393uzkY6F1AUL9,GoKvyxy5e4eQjcWeT3Fem6vEhShSKLLXWkY6WBQHRSsm,1.14
5jMrYGdJH3GdUR9PR8vHmXwTJU7zfu4iMb87xpNJeUKbDzfMNkVxsrfN6WjW3w3DWashzsxQvGjL92pyGaL6Baz2,GoKvyxy5e4eQjcWeT3Fem6vEhShSKLLXWkY6WBQHRSsm,6iZv1gQvCQjjj5pEZQk56FJc6Upw5mj8uqN4ABcVBf6f,0.05
664pt5SdrLshR9jc1avo8hDPUwmSXFANaFN8XsE8YybFuoy25s9Gy4pNtuLMmKz9FGqgb89fJFrkNHxp8oawAEu1,6iZv1gQvCQjjj5pEZQk56FJc6Upw5mj8uqN4ABcVBf6f,6yTPnRT9q6YCykrMxc83qsr9CjBUfqHzf1twS1fosBKQ,0.3
54pxthav7eF7MPsNdME3vBg6WGuyHNYUcR6NDJK9B1A8KRRQXUCtvpXshcTCr14n325CrD1kbpX96CSBp38SdcCH,6yTPnRT9q6YCykrMxc83qsr9CjBUfqHzf1twS1fosBKQ,CaXRsgnBseKMDyJ6uV8C1yqoTuLsH5GqAeoaHG2e2aWK,0.9
3eQosQWZyoCEWqVDuz7tfoFvVKfrbpiyuSvQsGHtr8tnwZEB9wLq6aT1Awy6qL2kAtyw5GCMY4XWKx5AeM9SxcsW,9KvejaYeQwhSY535ucwb6N4TB8uJ6uku7yLZqMD5hDYW,BUdwPZLvyWPPk2Y8AErphy5HHeav59rLft34Sm7pB7c5,0.75
JpkU7DVtSc9EsSmEkYSpZRYHuCkj4oUBGr4gDjR129HNiPLeT27rtYjbZ84PwGpSnK1dQ9ckeH6UgAsdhXpRbfw,BUdwPZLvyWPPk2Y8AErphy5HHeav59rLft34Sm7pB7c5,3bBBrHag2RL9ubhiKAQve3dRwizfryzy3QYCQbLAYQHP,0.925
33ht8dWdbr3vePx4oCPLmLt6rBEMU82t2fUE7hSCEzDVQUuM2EusgtCi7hESHJcqzFgJT6ozsMZEdiEh781UqkmH,3bBBrHag2RL9ubhiKAQve3dRwizfryzy3QYCQbLAYQHP,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,0.75
